Team,Player Pts,Pts,For,Against,Goal Diff.,Attack,Defence,Variation
Arsenal,34.1724137931,10.0,11,8,3,0.86,0.28,0.01
Bournemouth,31.72,7.0,10,12,-2,0.41,-0.37,0.03
Burnley,29.5833333333,9.0,10,8,2,0.21,-0.21,0.07
Chelsea,49.8695652174,15.0,10,4,6,0.82,0.31,0.01
Crystal Palace,22.0,2.0,6,11,-5,0.14,-0.09,0.02
Everton,27.2903225806,10.0,11,7,4,0.46,0.14,0.01
Hull,18.9032258065,2.0,6,15,-9,-0.08,-0.81,0.06
Leicester,27.3846153846,8.0,7,7,0,0.56,0.12,0.01
Liverpool,34.5333333333,14.0,13,5,8,0.86,0.1,0.01
Man City,35.76,12.0,11,7,4,1.14,0.26,0.01
Middlesbrough,29.72,4.0,4,7,-3,-0.01,0.26,0.07
Southampton,25.1290322581,7.0,6,10,-4,0.42,0.14,0.01
Stoke,29.7692307692,5.0,8,13,-5,0.21,0.01,0.01
Sunderland,17.9117647059,4.0,5,13,-8,0.13,-0.17,0.01
Swansea,26.4,6.0,7,14,-7,0.26,-0.12,0.01
Tottenham,39.1538461538,15.0,15,4,11,0.63,0.19,0.01
Watford,22.6,4.0,5,12,-7,0.15,-0.14,0.03
West Brom,32.9583333333,9.0,8,7,1,0.17,-0.08,0.01
West Ham,23.4516129032,10.0,8,6,2,0.35,-0.03,0.01
